hh_id,region_name,region_id,latnum,longnum,sex_binary,age,eduyrs,hh_income,wt.by.ht,water_source,water_mins,hhid,hv001,hv006,hv007,hv009,hv012,hv014,hv021,hv023,hv024,hv025,hv040,hv201,hv204,hv205,hv206,hv207,hv208,hv209,hv213,hv214,hv215,hv221,hv225,hv235,hv270,hv104,hv105,hv106,hv107,hv108,hv109,hv111,hv113,hv121,hv124,region
1 17,manicaland,167,6.9022698,8.0971146,female,13,7,poorest,-1.777587774,river/dam/lake/ponds/stream/canal/irrigation channel,120,1 17,1,5,2013,13,13,5,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,120,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorest,female,13,secondary,0,6,incomplete secondary,yes,yes,attended at some time,7,167
1 70,manicaland,167,6.9022698,8.0971146,female,7,1,poorer,0.190191407,river/dam/lake/ponds/stream/canal/irrigation channel,10,1 70,1,5,2013,7,7,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,10,pit latrine with slab,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,female,7,primary,0,0,incomplete primary,yes,yes,attended at some time,1,167
1 53,manicaland,167,6.9022698,8.0971146,female,15,0,middle,0.110504543,river/dam/lake/ponds/stream/canal/irrigation channel,240,1 53,1,5,2013,2,2,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,240,pit latrine without slab/open pit,no,yes,yes,no,natural - earth / sand,finished - bricks,finished - metal,no,no,elsewhere,middle,female,15,9,NA,99,9,yes,yes,no,0,167
1 90,manicaland,167,6.9022698,8.0971146,male,13,2,poorer,-1.244619878,river/dam/lake/ponds/stream/canal/irrigation channel,on premises,1 90,1,5,2013,6,6,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,on premises,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,finished - bricks,finished - metal,no,no,in own yard/plot,poorer,male,13,primary,1,1,incomplete primary,yes,yes,attended at some time,2,167
1 58,manicaland,167,6.9022698,8.0971146,female,6,0,poorer,1.029155443,river/dam/lake/ponds/stream/canal/irrigation channel,60,1 58,1,5,2013,5,5,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,60,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,finished - bricks,finished - metal,no,no,elsewhere,poorer,female,6,"no education, preschool",NA,0,no education,yes,yes,no,0,167
1 43,manicaland,167,6.9022698,8.0971146,male,7,0,poorer,-0.097598205,river/dam/lake/ponds/stream/canal/irrigation channel,10,1 43,1,5,2013,5,5,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,10,pit latrine with slab,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,male,7,"no education, preschool",NA,0,no education,yes,yes,no,0,167
1 36,manicaland,167,6.9022698,8.0971146,female,6,0,poorer,-0.020322596,river/dam/lake/ponds/stream/canal/irrigation channel,90,1 36,1,5,2013,7,7,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,90,pit latrine without slab/open pit,no,no,no,no,natural - earth / sand,finished - bricks,natural - thatch,no,no,elsewhere,poorer,female,6,"no education, preschool",NA,0,no education,yes,yes,no,0,167
1 70,manicaland,167,6.9022698,8.0971146,male,10,3,poorer,-2.020790776,river/dam/lake/ponds/stream/canal/irrigation channel,10,1 70,1,5,2013,7,7,2,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,10,pit latrine with slab,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,male,10,primary,2,2,incomplete primary,yes,yes,attended at some time,3,167
1 92,manicaland,167,6.9022698,8.0971146,male,10,3,poorest,0.024160764,river/dam/lake/ponds/stream/canal/irrigation channel,20,1 92,1,5,2013,8,8,0,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,20,pit latrine without slab/open pit,no,yes,no,no,natural - earth / sand,99,natural - thatch,no,no,elsewhere,poorest,male,10,primary,2,2,incomplete primary,yes,yes,attended at some time,3,167
1 26,manicaland,167,6.9022698,8.0971146,female,6,0,poorer,0.476246938,river/dam/lake/ponds/stream/canal/irrigation channel,180,1 26,1,5,2013,5,5,1,1,35,manicaland,rural,81,river/dam/lake/ponds/stream/canal/irrigation channel,180,pit latrine with slab,no,yes,no,no,natural - earth / sand,natural - mud,natural - thatch,no,no,elsewhere,poorer,female,6,9,NA,99,9,yes,yes,no,0,167
